Shacman F2000/F3000,$ 16 000,https://im.mashina.kg/tachka/images//d/9/4/d94caa7286898f08198e9ace53ada39d_240x180.jpg,"2008 г., 8 л., механика,дизель,руль слева"
Volvo FH,$ 25 000,https://im.mashina.kg/tachka/images//5/b/c/5bc937ddbe1366dd4c7b40789668b603_240x180.jpg,"1999 г., 4 л., механика,дизель,руль слева"
Howo ZZ4187N3511V,$ 11 000,https://im.mashina.kg/tachka/images//2/6/0/2602d0a84f266c8f21bbadcde528c500_240x180.jpg,"2011 г., 3 л., механика,дизель,руль слева"
Renault Magnum,$ 13 499,https://im.mashina.kg/tachka/images//e/5/2/e52dc728705fde860bf74a6735a84a1e_240x180.jpg,"2000 г., 12 л., механика,дизель,руль слева"
Volvo FH,$ 52 000,https://im.mashina.kg/tachka/images//e/2/1/e21367fed4cc3aeb820646e231f8934d_240x180.jpg,"2016 г., 12 л., автомат,дизель,руль слева, 830 000 км"
DAF XF95 series,$ 30 000,https://im.mashina.kg/tachka/images//1/f/8/1f8928d58cb5c4710b4ef6c3fd66fdf4_240x180.jpg,"2002 г., 10 л., механика,дизель,руль слева"
Renault Magnum,$ 13 000,https://im.mashina.kg/tachka/images//5/e/c/5ec7361d45ae34f26b738371eb3554de_240x180.jpg,"2004 г., 12 л., механика,дизель,руль слева, 800 000 км"
Volvo FH,$ 55 000,https://im.mashina.kg/tachka/images//3/a/f/3af596a19696111a5fddb4d90daaf9ac_240x180.jpg,"2015 г., 13 л., автомат,дизель,руль слева"
Volvo FM,$ 33 000,https://im.mashina.kg/tachka/images//f/8/e/f8eae809aa30150855073aae74c7c763_240x180.jpg,"2005 г., 12 л., механика,дизель,руль слева, 268 536 км"
Scania 4-Series,$ 15 000,,"2003 г., 3 л., механика,дизель,руль слева, 800 000 км"
DAF XF105 series,$ 36 000,https://im.mashina.kg/tachka/images//e/8/6/e86bd7cf95424a8af413740d616c118e_240x180.jpg,"2012 г., 12.9 л., автомат,дизель,руль слева, 700 000 км"
Shacman F2000/F3000,$ 20 000,https://im.mashina.kg/tachka/images//8/e/6/8e6970f2cc9b27ced87d366ff2da9b50_240x180.jpg,"2017 г., 10 л., механика,дизель,руль слева, 65 000 км"
Volvo FH,$ 30 000,https://im.mashina.kg/tachka/images//5/6/9/5690f73039fe0a11a92edb0c9af5ab7c_240x180.jpg,"2007 г., 12 л., механика,дизель,руль слева"
Volvo FH,$ 25 000,https://im.mashina.kg/tachka/images//c/b/c/cbc86dbf70a44513924fd1669f1304ca_240x180.jpg,"2000 г., 4 л., механика,дизель,руль слева, 1 000 000 км"
Volvo FH,$ 25 000,https://im.mashina.kg/tachka/images//e/d/6/ed661c73b2839a0696eae7e8ff369b68_240x180.jpg,"2005 г., 12 л., автомат,дизель,руль слева"
Howo ZZ4327V3247P,$ 20 000,https://im.mashina.kg/tachka/images//6/f/0/6f09edcad1b9755cb61911d842ce389e_240x180.jpg,"2007 г., 10 л., механика,дизель,руль слева"
